Timestamp,ToolID,WaferID,StepID,Temp_C,Pressure_mTorr,RF_Power_W,GasFlow_sccm,Bias_V,AnomalyFlag
2024-06-01T09:00:00,CVD-TOOL-07,WAF_001,STEP_1,300.56,49.05,497.75,98.89,50.47,
2024-06-01T09:00:05,CVD-TOOL-07,WAF_002,STEP_1,300.71,50.78,495.87,99.69,49.06,
2024-06-01T09:00:10,CVD-TOOL-07,WAF_003,STEP_1,298.87,50.01,495.27,98.8,50.3,
2024-06-01T09:00:15,CVD-TOOL-07,WAF_004,STEP_1,300.18,49.44,500.89,101.24,49.01,
2024-06-01T09:00:20,CVD-TOOL-07,WAF_005,STEP_1,301.22,50.4,498.4,98.62,50.91,
2024-06-01T09:00:25,CVD-TOOL-07,WAF_006,STEP_1,299.35,49.19,495.97,101.39,50.21,
2024-06-01T09:00:30,CVD-TOOL-07,WAF_007,STEP_1,301.23,50.46,500.36,101.89,49.76,
2024-06-01T09:00:35,CVD-TOOL-07,WAF_008,STEP_1,300.21,50.66,501.19,101.45,50.15,
2024-06-01T09:00:40,CVD-TOOL-07,WAF_009,STEP_1,300.82,49.09,497.28,99.16,49.16,
2024-06-01T09:00:45,CVD-TOOL-07,WAF_010,STEP_1,298.93,49.2,497.78,100.54,49.73,
2024-06-01T09:00:50,CVD-TOOL-07,WAF_011,STEP_2,299.48,49.42,497.67,101.75,50.3,
2024-06-01T09:00:55,CVD-TOOL-07,WAF_012,STEP_2,300.44,49.34,502.29,98.65,49.76,
2024-06-01T09:01:00,CVD-TOOL-07,WAF_013,STEP_2,301.96,50.28,500.57,100.74,50.69,
2024-06-01T09:01:05,CVD-TOOL-07,WAF_014,STEP_2,301.1,49.46,495.32,99.26,49.54,
2024-06-01T09:01:10,CVD-TOOL-07,WAF_015,STEP_2,298.84,50.89,503.76,99.26,50.31,
2024-06-01T09:01:15,CVD-TOOL-07,WAF_016,STEP_2,299.58,50.83,499.59,99.06,49.49,
2024-06-01T09:01:20,CVD-TOOL-07,WAF_017,STEP_2,300.25,49.53,500.85,101.59,49.8,
2024-06-01T09:01:25,CVD-TOOL-07,WAF_018,STEP_2,298.88,51.0,500.1,98.36,49.09,
2024-06-01T09:01:30,CVD-TOOL-07,WAF_019,STEP_2,298.44,50.25,502.92,99.69,49.13,
2024-06-01T09:01:35,CVD-TOOL-07,WAF_020,STEP_2,299.53,50.99,500.29,101.88,50.72,
2024-06-01T09:01:40,CVD-TOOL-07,WAF_021,STEP_3,415.7,50.44,501.82,100.15,49.53,OUT_OF_RANGE:Temp
2024-06-01T09:01:45,CVD-TOOL-07,WAF_022,STEP_3,300.56,0.3,499.35,99.81,50.91,OUT_OF_RANGE:Pressure
2024-06-01T09:01:50,CVD-TOOL-07,WAF_023,STEP_3,301.5,49.53,500.01,98.71,50.83,
2024-06-01T09:01:55,CVD-TOOL-07,WAF_024,STEP_3,301.48,49.6,501.39,100.44,49.31,
2024-06-01T09:02:00,CVD-TOOL-07,WAF_025,STEP_3,301.05,50.08,502.79,100.12,49.0,
2024-06-01T09:02:05,CVD-TOOL-07,WAF_026,STEP_3,299.3,49.04,504.29,101.51,50.66,
2024-06-01T09:02:10,CVD-TOOL-07,WAF_027,STEP_3,299.23,49.12,503.78,101.79,49.17,
2024-06-01T09:02:15,CVD-TOOL-07,WAF_028,STEP_3,299.94,49.14,502.61,101.06,49.26,
2024-06-01T09:02:20,CVD-TOOL-07,WAF_029,STEP_3,299.9,50.1,497.65,101.49,49.85,
2024-06-01T09:02:25,CVD-TOOL-07,WAF_030,STEP_3,298.85,50.08,502.3,98.8,49.62,
